amfi_code,scheme_name,category,cagr_3y,sharpe_ratio,alpha,max_drawdown_pct,expense_ratio_pct,rank_3y,rank_sharpe,rank_alpha,rank_expense,rank_dd,score
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,15.62,0.9532794968660105,19.8686,-11.8,0.66,45.0,72.5,65.0,92.5,27.500000000000004,61.25
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,17.7,0.7757902498211209,17.7298,-15.2,0.92,55.00000000000001,57.49999999999999,62.5,67.5,45.0,58.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,17.68,0.6488787755249532,16.2539,-19.83,1.41,52.5,52.5,52.5,55.00000000000001,67.5,54.38
118635,Nippon India ETF Nifty 50 BeES,Equity,19.2,0.664856998549062,15.1364,-11.65,0.89,60.0,55.00000000000001,45.0,70.0,25.0,53.75
119093,Axis Bluechip Fund - Direct - Growth,Equity,19.98,0.1296144979566933,8.2328,-21.75,0.75,62.5,30.0,32.5,82.5,77.5,52.88
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,14.17,0.9262873467360148,20.873,-15.27,1.52,42.5,65.0,67.5,36.25,47.5,52.69
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,24.5,0.6195175900829829,16.2113,-21.54,1.64,70.0,47.5,50.0,3.75,75.0,50.94
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,13.43,0.7979728586052847,17.7033,-13.9,1.42,40.0,60.0,60.0,52.5,35.0,50.38
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,18.88,0.8170993373494371,17.0488,-10.86,1.57,57.49999999999999,62.5,55.00000000000001,17.5,17.5,48.25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,10.81,0.30061192104254786,11.9891,-21.12,0.78,37.5,35.0,37.5,77.5,72.5,46.38
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,7.7,0.44843400890899143,17.5007,-23.34,1.53,35.0,37.5,57.49999999999999,31.25,80.0,44.06
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,17.32,0.4640374492204776,13.1732,-14.84,1.54,50.0,40.0,42.5,26.25,40.0,41.44
120841,Kotak Bluechip Fund - Regular - Growth,Equity,16.58,0.4942725378672354,13.0429,-17.57,1.59,47.5,42.5,40.0,15.0,60.0,41.12
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,7.11,0.49572339295331147,6.7462,-0.1,0.74,30.0,45.0,25.0,85.0,2.5,38.25
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,7.46,0.07599984804658912,7.8044,-24.0,1.56,32.5,27.500000000000004,30.0,20.0,82.5,33.88
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,-1.29,-0.05718662582818005,4.8824,-52.57,0.72,7.5,22.5,12.5,88.75,100.0,33.69
120844,Kotak Liquid Fund - Regular - Growth,Debt,6.44,-0.08874729621557495,6.4557,-0.12,0.6,27.500000000000004,17.5,22.5,95.0,5.0,31.88
101207,ABSL Small Cap Fund - Regular - Growth,Equity,-4.0,0.16266076928646758,10.8971,-35.45,1.53,5.0,32.5,35.0,31.25,95.0,30.81
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,3.91,-0.35662950751436784,5.0748,-8.32,0.55,20.0,7.5,15.0,100.0,15.0,27.38
119095,Axis Small Cap Fund - Regular - Growth,Equity,-11.3,-0.07597357117478937,4.8016,-51.68,1.38,2.5,20.0,10.0,60.0,97.5,26.5
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,5.62,-0.2265753866279158,5.6209,-4.33,0.77,22.5,10.0,17.5,80.0,12.5,26.0
101208,ABSL Liquid Fund - Regular - Growth,Debt,6.08,-0.8155673679088286,6.0861,-0.16,0.79,25.0,2.5,20.0,75.0,7.5,24.12
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,3.77,-0.5670947928476847,4.2818,-4.31,0.56,17.5,5.0,7.5,97.5,10.0,23.62
102886,UTI Mid Cap Fund - Regular - Growth,Equity,-0.74,-0.20583160785470306,2.8969,-28.0,1.51,10.0,12.5,2.5,41.25,87.5,21.56
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,1.24,-0.20151706755966933,3.7476,-24.73,1.55,15.0,15.0,5.0,22.5,85.0,21.12
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.51,0.030784850954585913,6.8995,-14.4,1.64,12.5,25.0,27.500000000000004,3.75,37.5,19.81
